end station id,end station name,end station latitude,end station longitude,end duration mean,end duration sum,end duration count,end year,end type
399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,737.1825193,860292,1167,2019,subs
400,Pitt St & Stanton St,40.71926081,-73.98178024,750.3262411,528980,705,2019,subs
401,Allen St & Rivington St,40.72019576,-73.98997825,771.99375,3211494,4160,2019,subs
402,Broadway & E 22 St,40.7403432,-73.98955109,696.2487466,7221492,10372,2019,subs
403,E 2 St & 2 Ave,40.72502876,-73.99069656,724.50227,3032042,4185,2019,subs
405,Washington St & Gansevoort St,40.739323,-74.008119,875.1937273,4576388,5229,2019,subs
406,Hicks St & Montague St,40.69512845,-73.99595065,736.7032058,1424784,1934,2019,subs
407,Henry St & Poplar St,40.700469,-73.991454,791,289506,366,2019,subs
408,Market St & Cherry St,40.71076228,-73.99400398,784.5731383,1179998,1504,2019,subs
410,Suffolk St & Stanton St,40.72066442,-73.98517977,756.6378965,2647476,3499,2019,subs
411,E 6 St & Avenue D,40.72228087,-73.97668709,1294.340499,3371757,2605,2019,subs
412,Forsyth St & Canal St,40.7158155,-73.99422366,900.0275153,3238299,3598,2019,subs
414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,1022.545008,1874325,1833,2019,subs
415,Pearl St & Hanover Square,40.7047177,-74.00926027,887.1032922,2155661,2430,2019,subs
416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,1040.40566,1323396,1272,2019,subs
417,Barclay St & Church St,40.71291224,-74.01020234,767.3235376,2741647,3573,2019,subs
418,Front St & Gold St,40.70224,-73.982578,884.9074703,1042421,1178,2019,subs
419,Carlton Ave & Park Ave,40.69580705,-73.97355569,700.0023148,604802,864,2019,subs
420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,685.2888631,590719,862,2019,subs
421,Clermont Ave & Park Ave,40.69573398,-73.97129668,735.7577389,546668,743,2019,subs
422,W 59 St & 10 Ave,40.770513,-73.988038,900.7956903,2257394,2506,2019,subs
423,W 54 St & 9 Ave,40.76584941,-73.98690506,886.7023173,2487200,2805,2019,subs
426,West St & Chambers St,40.71754834,-74.01322069,1068.076019,10087978,9445,2019,subs
427,Bus Slip & State St,40.701907,-74.013942,1095.944889,2326691,2123,2019,subs
432,E 7 St & Avenue A,40.72621788,-73.98379855,713.4401396,4088012,5730,2019,subs
435,W 21 St & 6 Ave,40.74173969,-73.99415556,633.9673101,5682249,8963,2019,subs
436,Hancock St & Bedford Ave,40.68216564,-73.95399026,2816.209256,1399656,497,2019,subs
437,Macon St & Nostrand Ave,40.68098339,-73.95004798,960.6004566,1262229,1314,2019,subs
438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,713.1523046,3914493,5489,2019,subs
439,E 4 St & 2 Ave,40.7262807,-73.98978041,806.452859,3695167,4582,2019,subs
440,E 45 St & 3 Ave,40.75255434,-73.97282625,777.2865408,2552609,3284,2019,subs
441,E 52 St & 2 Ave,40.756014,-73.967416,811.0447866,2317966,2858,2019,subs
442,W 27 St & 7 Ave,40.746647,-73.993915,735.040735,4240450,5769,2019,subs
443,Bedford Ave & S 9 St,40.70853074,-73.96408963,1324.130682,699141,528,2019,subs
445,E 10 St & Avenue A,40.72740794,-73.98142006,731.5958245,4485414,6131,2019,subs
446,W 24 St & 7 Ave,40.74487634,-73.99529885,772.3381824,4512772,5843,2019,subs
