start station id,start station name,start station latitude,start station longitude,start duration mean,start duration sum,start duration count,start year,start type
515,W 43 St & 10 Ave,40.76009437,-73.99461843,972.2633522,3950306,4063,2019,subs
516,E 47 St & 1 Ave,40.75206862,-73.96784384,898.201771,1420057,1581,2019,subs
517,Pershing Square South,40.751581,-73.97791,720.3233733,3664285,5087,2019,subs
518,E 39 St & 2 Ave,40.74780373,-73.9734419,774.4312275,3873705,5002,2019,subs
519,Pershing Square North,40.751873,-73.977706,775.3222938,10464525,13497,2019,subs
520,W 52 St & 5 Ave,40.75992262,-73.97648516,893.909725,4485639,5018,2019,subs
522,E 51 St & Lexington Ave,40.75714758,-73.97207836,807.9617317,2090197,2587,2019,subs
523,W 38 St & 8 Ave,40.75466591,-73.99138152,782.3849438,5497819,7027,2019,subs
524,W 43 St & 6 Ave,40.75527307,-73.98316936,824.0628248,3489082,4234,2019,subs
525,W 34 St & 11 Ave,40.75594159,-74.0021163,1010.253533,4933068,4883,2019,subs
526,E 33 St & 5 Ave,40.74765947,-73.98490707,706.4645161,4051574,5735,2019,subs
528,2 Ave & E 31 St,40.74290902,-73.97706058,787.1458949,3997914,5079,2019,subs
529,W 42 St & 8 Ave,40.7575699,-73.99098507,774.0933094,3019738,3901,2019,subs
530,11 Ave & W 59 St,40.77149671,-73.99046034,1033.994229,4658144,4505,2019,subs
531,Forsyth St & Broome St,40.71893904,-73.99266288,702.4233708,3125784,4450,2019,subs
532,S 5 Pl & S 5 St,40.710451,-73.960876,1629.377845,5368800,3295,2019,subs
533,Broadway & W 38 St,40.75299641,-73.98721619,880.3798371,3458132,3928,2019,subs
534,Water - Whitehall Plaza,40.70255065,-74.0127234,975.0701428,1570838,1611,2019,subs
536,1 Ave & E 30 St,40.74144387,-73.97536082,776.3602821,2861664,3686,2019,subs
539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,742.1432106,2699917,3638,2019,subs
540,Lexington Ave & E 29 St,40.74311555,-73.98215353,699.5840487,2526198,3611,2019,subs
545,E 23 St & 1 Ave,40.736502,-73.97809472,717.7170254,3667534,5110,2019,subs
546,E 30 St & Park Ave S,40.74444921,-73.98303529,655.8311224,2570858,3920,2019,subs
2000,Front St & Washington St,40.70255088,-73.98940236,997.6438224,2067118,2072,2019,subs
2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,853.7033765,2705386,3169,2019,subs
2003,1 Ave & E 18 St,40.73381219,-73.98054421,650.2210107,3100904,4769,2019,subs
2005,Railroad Ave & Kay Ave,40.70531194,-73.97100056,898.6052632,68294,76,2019,subs
2006,Central Park S & 6 Ave,40.76590936,-73.97634151,1025.501734,3844606,3749,2019,subs
2008,Little West St & 1 Pl,40.70569254,-74.01677685,990.9324693,4358121,4398,2019,subs
2009,Catherine St & Monroe St,40.71117444,-73.99682619,727.6856703,1416804,1947,2019,subs
2012,E 27 St & 1 Ave,40.739445,-73.976806,751.5956708,2812471,3742,2019,subs
2017,E 43 St & 2 Ave,40.75022392,-73.97121414,849.1744681,1596448,1880,2019,subs
2021,W 45 St & 8 Ave,40.75929124,-73.98859651,814.6400103,3168135,3889,2019,subs
2022,E 60 St & York Ave,40.759107,-73.959223,1003.842708,963689,960,2019,subs
2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,819.6477541,1733555,2115,2019,subs
3002,South End Ave & Liberty St,40.711512,-74.015756,1006.316716,6802701,6760,2019,subs
3016,Kent Ave & N 7 St,40.72036775,-73.96165073,894.6588327,2284064,2553,2019,subs
3040,Handlebar @ Gowanus,40.66979964,-73.99497986,651,651,1,2019,subs
3041,Kingston Ave & Herkimer St,40.67890679,-73.94142771,1151.190476,556025,483,2019,subs
3042,Fulton St & Utica Ave,40.6794268,-73.9298911,2302.934579,1232070,535,2019,subs
3043,Lewis Ave & Decatur St,40.6814598,-73.934903,9724.390728,2936766,302,2019,subs
3044,Albany Ave & Fulton St,40.6800105,-73.938475,8290.384259,1790723,216,2019,subs
3046,Marcus Garvey Blvd & Macon St,40.682601,-73.938037,961.4896422,510551,531,2019,subs
3047,Halsey St & Tompkins Ave,40.6823687,-73.944118,852.9737705,520314,610,2019,subs
3048,Putnam Ave & Nostrand Ave,40.68402,-73.94977,7022.604072,3103991,442,2019,subs
3049,Cambridge Pl & Gates Ave,40.68488,-73.96304,712.7021014,576576,809,2019,subs
3050,Putnam Ave & Throop Ave,40.6851532,-73.94111,888.7596774,551031,620,2019,subs
3052,Lewis Ave & Madison St,40.686312,-73.935775,1044.822161,763765,731,2019,subs
3053,Marcy Ave & Lafayette Ave,40.6900815,-73.947915,1092.988987,496217,454,2019,subs
3054,Greene Ave & Throop Ave,40.6894932,-73.942061,828.2407407,402525,486,2019,subs
3055,Greene Ave & Nostrand Ave,40.6883337,-73.950916,775.0471698,410775,530,2019,subs
3056,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465,748.7652439,491190,656,2019,subs
3057,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,774.8549724,560995,724,2019,subs
3058,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,1008.778706,483205,479,2019,subs
3059,Pulaski St & Marcus Garvey Blvd,40.6933982,-73.939877,853.2299742,330200,387,2019,subs
3060,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915,2999.106472,1436572,479,2019,subs
